id;name;max
$EC3;Gobbie Mystery Box (M)
$49;Spoils (Wind Crystal)
$04A;Spoils (Earth Crystal);10
$4B;Spoils (Lightning Crystal)
$4C;Spoils (Water Crystal)
$4D;Spoils (Light Crystal)
$4E;Spoils (Dark Crystal)
$54;Spoils (Flame Geode)
$55;Spoils (Snow Geode)
$56;Spoils (Breeze Geode)
$57;Spoils (Soil Geode)
$58;Spoils (Thunder Geode)
$59;Spoils (Aqua Geode)
$5A;Spoils (Light Geode)
$5B;Spoils (Shadow Geode)
$5C;Spoils (Ifritite)
$5D;Spoils (Shivite)
$5E;Spoils (Garudite)
$5F;Spoils (Titanite)
$60;Spoils (Ramuite)
$61;Spoils (Leviatite)
$62;Spoils (Carbite)
$63;Spoils (Fenrite)
$78;Spoils (Bat Wing)
$79;Spoils (Black Tiger Fang)
$7A;Spoils (Flint Stone)
$7B;Spoils (Rabbit Hide)
$7C;Spoils (Honey)
$7D;Spoils (Sheepskin)
$7E;Spoils (Lizard Skin)
$7F;Spoils (Beetle Shell)
$80;Spoils (Zeruhn Soot)
$81;Spoils (Silver Name Tag)
$82;Spoils (Quadav Helm)
$84;Spoils (Treant Bulb)
$85;Spoils (Wild Onion)
$86;Spoils (Sleepshroom)
$87;Spoils (Sand Bat Fang)
$88;Spoils (Zinc Ore)
$89;Spoils (Giant Bird Feather)
$8A;Spoils (Three-leaf Mandragora Bud)
$8B;Spoils (Four-leaf Mandragora Bud)
$8C;Spoils (Cornette)
$8D;Spoils (Yuhtunga Sulfur)
$8E;Spoils (Snobby Letter)
$8F;Spoils (Yagudo Bead Necklace)
$90;Spoils (Woozyshroom)
$91;Spoils (Beehive Chip)
$92;Spoils (Remi Shell)
$93;Spoils (Twinstone Earring)
$D7;Conflict: West Ronfaure
$D8;Subjugation: Jaggedy-Eared Jack
$D9;Conflict: East Ronfaure
$DA;Subjugation: Swamfisk
$DB;Conflict: Ghelsba Outpost
$DC;Subjugation: Thousandarm Deshglesh
$E5;Conflict: Valkurm Dunes
$E6;Subjugation: Valkurm Emperor
$E7;Conflict: Konschtat Highlands
$E8;Subjugation: Bendigeit Vran
$F1;Conflict: Batallia Downs
$F2;Subjugation: Lumber Jack
$F7;Conflict: North Gustaberg
$F8;Subjugation: Maighdean Uaine
$F9;Conflict: South Gustaberg
$FA;Subjugation: Carnero
$FB;Conflict: Zeruhn Mines
$FC;Conflict: Palborough Mines
$FE;Conflict: Dangruf Wadi
$FF;Subjugation: Teporingo
